,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Luftemissionsart SO2,464,395,311,233,188,165,172,129,85,110,103,103,96,242,46,35,23,21,18,13,8,11
Luftemissionsart NMVOC,140,117,117,76,72,70,66,61,53,55,102497,93907,89990,84466,84121,98909,82522,78925,75415,68843,63938,64720
Luftemissionsart NH3,9,11,9,9,9,8,9,8,6,8,8,8,7,9,6,6,5,6,6,6,5,5
Luftemissionsart Feinst10,3312,3307,3306,3291,3294,3295,3302,3304,3300,3299,3296,3118,2942,2767,2581,2408,2364,2371,2377,2395,2422,2439
Luftemissionsart HFC,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,26181855,25498037,24623848,25019981,22494298,25795257,24018014,24279086,24127097,25000219,25530764,25112525,25026732,25097373,23947872,23762411,23768514,23625792,23559897,22518959,24447539,24866038
Luftemissionsart CH4,12895,12671,13103,12781,12212,12175,11399,11006,10534,10465,9906,9903,9542,9523,9419,9530,9071,9213,8944,8946,9123,8763
Luftemissionsart N2O,415,368,366,373,299,336,282,309,316,324,323,311,330,319,307,283,291,287,283,274,282,274
Luftemissionsart NOX,43575,41033,37908,36775,30865,33831,26790,26582,25967,26223,27145,26368,26133,24738,22960,22166,21816,21382,20955,18975,20725,21828
Luftemissionsart SO2,83357,73809,71263,70195,59723,54774,49385,49362,48730,49373,52897,52214,48322,44944,41246,38622,36936,35780,34662,28054,36338,38917
Luftemissionsart NMVOC,70590,70012,71391,69242,65141,62305,58849,55831,53015,51220,49467,50046,48605,48187,47541,47911,45076,46346,44290,43476,43995,44271
Luftemissionsart NH3,659,673,650,688,621,687,632,661,702,722,751,734,718,705,638,594,581,565,559,495,561,588
Luftemissionsart Feinst10,3910,3227,2985,2772,2165,1886,1810,1750,1772,1777,1890,1769,1581,1452,1336,1164,1147,1039,1007,828,979,1044
Luftemissionsart HFC,0,0,0,0,0,1,1,2,2,3,3,4,3,3,4,4,4,5,5,2,2,1
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,27206468,27230890,27105421,22508382,23447962,25680727,25082343,26287512,24103351,25166394,21484139,23990418,25694720,26656645,24067648,27672000,30098674,29523839,28436032,26561769,26509778,24376425
Luftemissionsart CH4,18233,17421,18323,19027,20708,23962,23175,21726,23958,24263,24963,23866,24628,23341,22177,22704,22883,21657,21796,22602,22658,22784
Luftemissionsart N2O,79575,84003,75330,32117,18751,17807,24459,26357,26893,31805,27127,26538,35162,30834,32078,4997,3767,2905,3105,2890,3028,2574
Luftemissionsart NOX,44358,44817,44272,37759,40291,41708,40669,44066,42926,46165,44177,44610,48272,46597,41716,46843,48741,46584,45833,45645,45587,42432
Luftemissionsart SO2,60096,55342,53290,37036,39521,33146,34570,32633,31629,32512,31427,33420,34521,36035,32630,34518,33684,32364,32203,28924,33292,24929
Luftemissionsart NMVOC,99595,90588,97525,103073,78278,54118,46664,51508,54076,54288,57528,52261,51443,61847,52470,60470,58230,56260,58280,53099,51437,51596
Luftemissionsart NH3,9058,9429,8581,8742,8962,9635,8604,9335,9300,9282,9324,10856,9290,9351,9149,9279,9485,9368,9307,9308,9241,9240
Luftemissionsart Feinst10,2017,1979,1804,1208,1251,1116,1065,1013,944,893,810,825,899,888,801,895,808,760,738,754,892,685
Luftemissionsart HFC,5335,3854,3710,3580,3376,1524,1378,1531,673,646,652,372,255,544,949,215,60,53,60,59,70,75
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,7,8,8,9,8,205,228,228,228,228,228,205,107,96,68,86,97,108,101,95,97,88
Luftemissionsart CO2,2129896,2193605,2151318,2741186,2616420,2650898,2740401,1893315,1082613,826844,708282,1083912,1049206,1139363,822447,788473,975889,1082357,1041863,870406,841642,445332
Luftemissionsart CH4,58,69,71,128,121,112,116,61,65,57,59,96,91,94,72,68,77,84,83,75,74,36
Luftemissionsart N2O,45,45,43,48,49,47,53,37,25,14,12,20,20,22,16,15,18,19,19,17,17,15
Luftemissionsart NOX,2720,2771,2695,3257,3213,3159,3226,2326,1780,1391,1283,1745,1660,1615,1284,1195,1280,1300,1246,1098,993,813
Luftemissionsart SO2,1838,1668,1398,900,1012,945,1036,746,740,202,66,97,86,1020,52,39,62,46,43,30,22,42
Luftemissionsart NMVOC,164,159,148,157,153,147,150,113,86,73,72,156,160,164,93,79,95,100,96,79,81,130
Luftemissionsart NH3,53,51,49,48,47,52,51,45,11,9,7,10,9,13,7,6,10,11,10,5,5,5
Luftemissionsart Feinst10,185,174,145,75,75,75,73,63,59,41,42,97,96,98,51,42,48,46,45,40,41,72
Luftemissionsart HFC,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
